Kontonummer;Kontobezeichnung;BeraterNr;MandantenNr;Wirtschaftsjahr;Gebucht bis;Saldo JVZ;EB-Wert;MVZ1;MVZ2;MVZ3;MVZ4;MVZ5;MVZ6;MVZ7;MVZ8;MVZ9;MVZ10;MVZ11;MVZ12
1705;"Darlehen (sonstige VB)";58476;17006;2022;31.07.2022;-15000,00;;0,00;0,00;0,00;0,00;0,00;0,00;-15000,00;0,00;0,00;0,00;0,00;0,00
1707;"Darlehen Rlz 1-5 J. (sonstige VB)";58476;17006;2022;31.07.2022;77990,89;87119,53;34558,17;33712,67;-27000,00;-55846,39;-14846,82;13240,55;7053,18;0,00;0,00;0,00;0,00;0,00
1730;"Kreditkartenabrechnung";58476;17006;2022;31.07.2022;18562,49;5995,13;1138,94;830,68;2655,52;-3486,20;6646,27;4316,26;465,89;0,00;0,00;0,00;0,00;0,00
1740;"Verbindlichkeiten aus Lohn und Gehalt";58476;17006;2022;31.07.2022;-701,03;-701,03;0,00;0,00;0,00;0,00;0,00;-5089,11;5089,11;0,00;0,00;0,00;0,00;0,00
1741;"Verbindlichk. Lohn- und Kirchensteuer";58476;17006;2022;31.07.2022;-1002,96;419,14;-102,41;-315,99;-363,33;-363,33;-363,33;205,03;-118,74;0,00;0,00;0,00;0,00;0,00
1742;"Verbindlichkeiten soziale Sicherheit";58476;17006;2022;31.07.2022;-29281,88;-12070,19;-1977,97;-2407,87;-2565,17;-2565,17;-2565,17;-2565,17;-2565,17;0,00;0,00;0,00;0,00;0,00
1755;"Lohn- und Gehaltsverrechnungen";58476;17006;2022;31.07.2022;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1759;"Voraus.Beitrag ggb. Sozialversich.träger";58476;17006;2022;31.07.2022;28826,28;11777,17;1815,39;2407,87;2565,17;2565,17;2565,17;0,00;5130,34;0,00;0,00;0,00;0,00;0,00
1776;"Umsatzsteuer 19%";58476;17006;2022;31.07.2022;-43352,18;;-4603,79;-6316,14;-3735,52;-4365,85;-15742,85;-3168,09;-5419,94;0,00;0,00;0,00;0,00;0,00
1780;"Umsatzsteuer-Vorauszahlungen";58476;17006;2022;31.07.2022;8332,86;;4222,46;-218,33;0,00;3583,30;0,00;0,00;745,43;0,00;0,00;0,00;0,00;0,00
1781;"Umsatzsteuer-Vorauszahlungen 1/11";58476;17006;2022;31.07.2022;2609,41;;0,00;1935,00;674,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1787;"Umsatzsteuer nach § 13b UStG 19%";58476;17006;2022;31.07.2022;-49,58;;-5,92;0,00;-23,91;0,00;-4,74;0,00;-15,01;0,00;0,00;0,00;0,00;0,00
1792;"Sonstige Verrechnung";58476;17006;2022;31.07.2022;-96550,00;;0,00;0,00;-72950,00;0,00;0,00;0,00;-23600,00;0,00;0,00;0,00;0,00;0,00
1800;"Privatentnahmen allgemein (VH), EK";58476;17006;2022;31.07.2022;72179,71;51274,30;5991,89;1057,75;1133,01;6740,46;3677,20;1794,75;510,35;0,00;0,00;0,00;0,00;0,00
1801;"Privatentnahmen allgemein (nur EU)";58476;17006;2022;31.07.2022;12,00;;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1810;"Privatsteuern (VH), EK";58476;17006;2022;31.07.2022;30,00;;0,00;0,00;0,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00
1820;"Sonderausgaben  KV";58476;17006;2022;31.07.2022;16013,72;11213,54;685,74;685,74;685,74;685,74;685,74;685,74;685,74;0,00;0,00;0,00;0,00;0,00
1891;"Privateinlagen (nur EU)";58476;17006;2022;31.07.2022;-38200,00;-38200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2100;"Zinsen und ähnliche Aufwendungen";58476;17006;2022;31.07.2022;1545,00;;0,00;0,00;772,50;0,00;0,00;0,00;772,50;0,00;0,00;0,00;0,00;0,00
2110;"Zinsaufwendungen f.kfr.Verbindlichkeit.";58476;17006;2022;31.07.2022;2158,27;;349,50;330,50;287,65;266,73;305,07;348,20;270,62;0,00;0,00;0,00;0,00;0,00
2118;"Zinsen auf Kontokorrentkonten";58476;17006;2022;31.07.2022;7261,23;;0,00;1154,01;1012,56;1950,43;1091,14;1090,40;962,69;0,00;0,00;0,00;0,00;0,00
2375;"Grundsteuer";58476;17006;2022;31.07.2022;64,46;;0,00;32,23;0,00;0,00;32,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2390;"Zuwendg. an Stiftg. wiss./mildt./kultur.";58476;17006;2022;31.07.2022;85,00;;85,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2749;"Erstattungen AufwendungsausgleichsG";58476;17006;2022;31.07.2022;-329,98;;-162,58;0,00;0,00;0,00;0,00;0,00;-167,40;0,00;0,00;0,00;0,00;0,00
3100;"Fremdleistungen";58476;17006;2022;31.07.2022;3023,64;;0,00;884,07;659,92;438,66;921,92;0,00;119,07;0,00;0,00;0,00;0,00;0,00
3106;"Fremdleistungen 19% Vorsteuer";58476;17006;2022;31.07.2022;1475,76;;279,82;296,80;380,66;195,80;161,34;161,34;0,00;0,00;0,00;0,00;0,00;0,00
3109;"Fremdleistungen ohne Vorsteuer";58476;17006;2022;31.07.2022;734,00;;0,00;422,00;312,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3349;"Wareneingang ohne Vorsteuerabzug";58476;17006;2022;31.07.2022;262543,00;;-43087,00;35200,00;60183,00;109000,00;1000,00;93047,00;7200,00;0,00;0,00;0,00;0,00;0,00
3400;"Wareneingang 19% Vorsteuer";58476;17006;2022;31.07.2022;55967,18;;0,00;0,00;27731,09;14285,71;13450,38;0,00;500,00;0,00;0,00;0,00;0,00;0,00
3730;"Erhaltene Skonti";58476;17006;2022;31.07.2022;-0,35;;0,00;0,00;0,00;0,00;-0,15;0,00;-0,20;0,00;0,00;0,00;0,00;0,00
3736;"Erhaltene Skonti 19% Vorsteuer";58476;17006;2022;31.07.2022;-120,64;;-9,04;-6,67;-5,18;-1,84;-87,41;0,00;-10,50;0,00;0,00;0,00;0,00;0,00
3950;"Bestandsveränderungen Waren";58476;17006;2022;31.07.2022;-52462,60;;43777,00;23040,00;-19733,00;-73450,00;22494,40;-55291,00;6700,00;0,00;0,00;0,00;0,00;0,00
3951;"Bestandsveränderungen Waren";58476;17006;2022;31.07.2022;-40163,00;;7992,00;0,00;-57360,00;-17000,00;34000,00;0,00;-7795,00;0,00;0,00;0,00;0,00;0,00
3980;"Bestand Waren";58476;17006;2022;31.07.2022;612128,86;501002,26;9610,00;-23040,00;25010,00;73450,00;-22494,40;55291,00;-6700,00;0,00;0,00;0,00;0,00;0,00
3981;"Bestand Waren";58476;17006;2022;31.07.2022;116984,09;82098,09;-7992,00;0,00;52083,00;17000,00;-34000,00;0,00;7795,00;0,00;0,00;0,00;0,00;0,00
4030;" Autoteile  ";58476;17006;2022;31.07.2022;116908,91;;12533,88;9957,10;19774,76;14906,82;16858,38;20002,01;22875,96;0,00;0,00;0,00;0,00;0,00
4032;"Bezugsnebenk. (Transport, Handling,Aukt.";58476;17006;2022;31.07.2022;4323,00;;0,00;0,00;2536,00;0,00;0,00;1787,00;0,00;0,00;0,00;0,00;0,00;0,00
4120;"Gehälter";58476;17006;2022;31.07.2022;40790,00;;4720,00;5720,00;6070,00;6070,00;6070,00;6070,00;6070,00;0,00;0,00;0,00;0,00;0,00
4130;"Gesetzliche Sozialaufwendungen";58476;17006;2022;31.07.2022;9265,98;;1070,79;1298,94;1379,25;1379,25;1379,25;1379,25;1379,25;0,00;0,00;0,00;0,00;0,00
4138;"Beiträge zur Berufsgenossenschaft";58476;17006;2022;31.07.2022;326,84;;0,00;0,00;0,00;326,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4210;"Miete, unbewegliche Wirtschaftsgüter";58476;17006;2022;31.07.2022;37769,79;;8010,93;4708,61;4708,61;4708,61;5612,93;5010,05;5010,05;0,00;0,00;0,00;0,00;0,00
4240;"Gas, Strom, Wasser";58476;17006;2022;31.07.2022;3446,97;;56,44;757,14;856,08;533,61;183,19;521,01;539,50;0,00;0,00;0,00;0,00;0,00
4250;"Reinigung";58476;17006;2022;31.07.2022;202,13;;0,00;36,65;31,52;31,52;31,52;39,40;31,52;0,00;0,00;0,00;0,00;0,00
4290;"Grundstücksaufwendungen, betrieblich";58476;17006;2022;31.07.2022;52,43;;0,00;0,00;52,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4320;"Gewerbesteuer";58476;17006;2022;31.07.2022;7352,00;;0,00;3676,00;0,00;0,00;3676,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4380;"Beiträge/Gebühren";58476;17006;2022;31.07.2022;380,88;;0,00;18,36;190,08;0,00;18,36;55,08;99,00;0,00;0,00;0,00;0,00;0,00
4510;"Kfz-Steuern";58476;17006;2022;31.07.2022;378,82;;0,00;378,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4520;"Kfz-Versicherungen";58476;17006;2022;31.07.2022;-883,87;;0,00;56,48;47,46;0,00;-311,95;-675,86;0,00;0,00;0,00;0,00;0,00;0,00
4530;"Laufende Kfz-Betriebskosten";58476;17006;2022;31.07.2022;3340,49;;952,95;467,59;514,76;268,66;269,79;113,73;753,01;0,00;0,00;0,00;0,00;0,00
4570;"Mietleasing Kfz";58476;17006;2022;31.07.2022;97,32;;0,00;97,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4580;"Sonstige Kfz-Kosten";58476;17006;2022;31.07.2022;48,00;;0,00;0,00;0,00;0,00;0,00;0,00;48,00;0,00;0,00;0,00;0,00;0,00
4595;"Fremdfahrzeugkosten";58476;17006;2022;31.07.2022;126,00;;0,00;0,00;0,00;0,00;0,00;0,00;126,00;0,00;0,00;0,00;0,00;0,00
4600;"Werbekosten";58476;17006;2022;31.07.2022;6876,72;;902,93;765,49;862,87;930,29;904,69;977,34;1533,11;0,00;0,00;0,00;0,00;0,00
4640;"Repräsentationskosten";58476;17006;2022;31.07.2022;68,45;;0,00;68,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4655;"Nicht abzugsfähige Betriebsausgaben";58476;17006;2022;31.07.2022;133,50;;0,00;133,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4663;"Reisekosten Arbeitnehmer, Fahrtkosten";58476;17006;2022;31.07.2022;228,57;;0,00;0,00;0,00;0,00;0,00;0,00;228,57;0,00;0,00;0,00;0,00;0,00
4673;"Reisekosten Unternehmer, Fahrtkosten";58476;17006;2022;31.07.2022;43,68;;43,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4710;"Verpackungsmaterial";58476;17006;2022;31.07.2022;5,99;;0,00;0,00;0,00;0,00;5,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4760;"Verkaufsprovisionen";58476;17006;2022;31.07.2022;181,93;;31,17;0,00;125,83;0,00;24,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4780;"Fremdarbeiten (Vertrieb)";58476;17006;2022;31.07.2022;1350,00;;0,00;0,00;1350,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4810;"Mietleasing bewegl. WG techn. Anlagen";58476;17006;2022;31.07.2022;1568,00;;224,00;224,00;224,00;224,00;224,00;224,00;224,00;0,00;0,00;0,00;0,00;0,00
4830;"Abschreibungen auf Sachanlagen";58476;17006;2022;31.07.2022;384,81;;192,39;192,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4860;"Abschreibungen auf aktivierte GWG";58476;17006;2022;31.07.2022;48,33;;24,16;24,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4910;"Porto";58476;17006;2022;31.07.2022;116,11;;20,90;12,99;17,89;8,60;0,00;7,90;47,83;0,00;0,00;0,00;0,00;0,00
4920;"Telefon";58476;17006;2022;31.07.2022;887,30;;80,82;65,26;165,19;127,81;195,93;138,89;113,40;0,00;0,00;0,00;0,00;0,00
4925;"Internetkosten";58476;17006;2022;31.07.2022;79,81;;29,39;25,21;0,00;0,00;25,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4930;"Bürobedarf";58476;17006;2022;31.07.2022;610,58;;0,00;88,89;203,99;0,00;242,53;0,00;75,17;0,00;0,00;0,00;0,00;0,00
4945;"Fortbildungskosten";58476;17006;2022;31.07.2022;1319,52;;204,47;516,72;0,00;187,39;0,00;0,00;410,94;0,00;0,00;0,00;0,00;0,00
4946;"Freiwillige Sozialleistungen";58476;17006;2022;31.07.2022;68,45;;0,00;0,00;68,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4950;"Rechts- und Beratungskosten";58476;17006;2022;31.07.2022;543,43;;526,00;0,00;0,00;0,00;0,00;0,00;17,43;0,00;0,00;0,00;0,00;0,00
4955;"Buchführungskosten";58476;17006;2022;31.07.2022;3033,50;;0,00;770,00;0,00;269,00;1733,00;0,00;261,50;0,00;0,00;0,00;0,00;0,00
4969;"Aufwand Abraum-/Abfallbeseitigung";58476;17006;2022;31.07.2022;1247,72;;148,20;107,30;120,10;455,00;114,62;124,60;177,90;0,00;0,00;0,00;0,00;0,00
4970;"Nebenkosten des Geldverkehrs";58476;17006;2022;31.07.2022;6961,36;;-1,86;113,61;664,97;98,42;2800,02;65,72;3220,48;0,00;0,00;0,00;0,00;0,00
4980;"Sonstiger Betriebsbedarf";58476;17006;2022;31.07.2022;296,63;;0,00;33,53;0,00;91,80;0,00;171,30;0,00;0,00;0,00;0,00;0,00;0,00
8191;"Umsatzerlöse §§ 25 und 25a UStG 19% USt";58476;17006;2022;31.07.2022;-54410,92;;-10673,10;-21285,72;-3361,35;-6168,06;-6216,81;-420,17;-6285,71;0,00;0,00;0,00;0,00;0,00
8193;"Umsatzerlöse §§ 25 u. 25a UStG ohne USt";58476;17006;2022;31.07.2022;-234021,00;;-60679,00;-51440,00;-22980,00;-35550,00;-13482,00;-16000,00;-33890,00;0,00;0,00;0,00;0,00;0,00
8400;"Erlöse 19% USt";58476;17006;2022;31.07.2022;-99410,22;;0,00;0,00;0,00;0,00;-61168,07;-16254,06;-21988,09;0,00;0,00;0,00;0,00;0,00
8401;"Erlöse Werkstatt 19%USt     ";58476;17006;2022;31.07.2022;-72835,40;;-13304,97;-11704,97;-16047,32;-16557,87;-15220,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8402;"Erlöse  Bürovermietung 19% USt";58476;17006;2022;31.07.2022;-1512,60;;-252,10;-252,10;-252,10;-252,10;-252,10;0,00;-252,10;0,00;0,00;0,00;0,00;0,00
8510;"Provisionsumsätze";58476;17006;2022;31.07.2022;-19,16;;0,00;0,00;0,00;0,00;-19,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8520;"Erlöse Abfallverwertung";58476;17006;2022;31.07.2022;-423,76;;-73,50;-112,70;-58,80;-84,50;0,80;-46,06;-49,00;0,00;0,00;0,00;0,00;0,00
8570;"Provision, sonstige Erträge";58476;17006;2022;31.07.2022;-514,26;;0,00;-200,00;0,00;-314,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9000;"Saldenvorträge Sachkonten";58476;17006;2022;31.07.2022;-347434,77;-347434,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9008;"Saldenvorträge Debitoren";58476;17006;2022;31.07.2022;-148710,98;-148710,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9009;"Saldenvorträge Kreditoren";58476;17006;2022;31.07.2022;17785,77;17785,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
13600;"Ibrahim Abaker";58476;17006;2022;31.07.2022;79,00;79,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50001;"Audi";58476;17006;2022;31.07.2022;27885,88;17995,88;9890,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50002;"Alfa Romeo";58476;17006;2022;31.07.2022;-21000,00;;0,00;0,00;0,00;0,00;-21000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50201;"BMW";58476;17006;2022;31.07.2022;24380,00;2000,00;11990,00;0,00;10390,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50300;"";58476;17006;2022;31.07.2022;-764,00;-764,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50401;"Citroen";58476;17006;2022;31.07.2022;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
50602;"Dacia";58476;17006;2022;31.07.2022;4000,00;;0,00;0,00;0,00;0,00;0,00;4000,00;0,00;0,00;0,00;0,00;0,00;0,00
51001;"Ford";58476;17006;2022;31.07.2022;28380,00;19890,00;0,00;0,00;0,00;0,00;0,00;0,00;8490,00;0,00;0,00;0,00;0,00;0,00
51002;"Fiat";58476;17006;2022;31.07.2022;250,00;;0,00;0,00;0,00;250,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
51401;"Honda";58476;17006;2022;31.07.2022;500,00;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
51801;"Jaguar";58476;17006;2022;31.07.2022;13850,10;13850,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
52001;"Kia";58476;17006;2022;31.07.2022;11990,00;11990,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
52202;"Lancia";58476;17006;2022;31.07.2022;400,00;;0,00;0,00;400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
52401;"Mercedes Benz u. Daimler Chrysler";58476;17006;2022;31.07.2022;36000,00;36000,00;0,00;0,00;0,00;0,00;24000,00;-24000,00;0,00;0,00;0,00;0,00;0,00;0,00
52404;"Mitsubishi ";58476;17006;2022;31.07.2022;1990,00;1990,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
52801;"Opel";58476;17006;2022;31.07.2022;14740,00;13890,00;0,00;0,00;0,00;0,00;850,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
53001;"Peugeot";58476;17006;2022;31.07.2022;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
53201;"Renault";58476;17006;2022;31.07.2022;12080,00;12080,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
53402;"Skoda";58476;17006;2022;31.07.2022;-5000,00;-5000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
53404;"Seat";58476;17006;2022;31.07.2022;990,00;990,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
54001;"Toyota ";58476;17006;2022;31.07.2022;5080,00;5080,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
54401;"VW";58476;17006;2022;31.07.2022;25030,00;18140,00;0,00;0,00;0,00;0,00;6890,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
70000;"A Diverse";58476;17006;2022;31.07.2022;-4323,39;-3500,00;0,00;0,00;0,00;0,00;-325,89;-497,50;0,00;0,00;0,00;0,00;0,00;0,00
70001;"Auto1";58476;17006;2022;31.07.2022;-3477,68;-3657,56;0,00;0,00;299,88;0,00;-120,00;-65073,53;65073,53;0,00;0,00;0,00;0,00;0,00
70002;"Adolf Wuerth GmbH & Co. KG";58476;17006;2022;31.07.2022;-551,87;-551,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
70003;"Autobutler.de";58476;17006;2022;31.07.2022;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
70004;"AutoScout24 GmbH";58476;17006;2022;31.07.2022;-1110,40;;0,00;0,00;0,00;0,00;0,00;0,00;-1110,40;0,00;0,00;0,00;0,00;0,00
70006;"Autohaus Dinnebier GmbH";58476;17006;2022;31.07.2022;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
70007;"Autofox";58476;17006;2022;31.07.2022;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
70008;"Allianz Versicherungs-AG";58476;17006;2022;31.07.2022;-560,23;-954,46;573,53;0,00;548,76;0,00;-1771,22;0,00;1043,16;0,00;0,00;0,00;0,00;0,00
70010;"ANKA Sp.zo.o.";58476;17006;2022;31.07.2022;-275,00;-275,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
70012;"Autohaus Berolina GmbH";58476;17006;2022;31.07.2022;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
70021;"Autohaus Böttche GmbH";58476;17006;2022;31.07.2022;2200,00;-5000,00;0,00;0,00;0,00;0,00;0,00;0,00;7200,00;0,00;0,00;0,00;0,00;0,00
70032;"Autopartner GmbH";58476;17006;2022;31.07.2022;-37,90;-37,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
70034;"Andreas Falkenberg (Reifeneinlagerung)";58476;17006;2022;31.07.2022;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
70036;"Albert Berner Deutschland GmbH";58476;17006;2022;31.07.2022;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
70038;"AHG GmbH";58476;17006;2022;31.07.2022;-716,00;;0,00;0,00;0,00;0,00;-716,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
70039;"Allround Autovermietung ";58476;17006;2022;31.07.2022;-304,10;;0,00;0,00;0,00;0,00;0,00;-304,10;0,00;0,00;0,00;0,00;0,00;0,00
70040;"Alzura AG";58476;17006;2022;31.07.2022;-34,51;;0,00;0,00;0,00;0,00;0,00;0,00;-34,51;0,00;0,00;0,00;0,00;0,00
70100;"audalis Seidler";58476;17006;2022;31.07.2022;0,00;-292,03;292,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
